nombre_gestoria,ciudad,provincia,web,telefono,email,direccion,tier,calidez,encaje,fuente,notas,estado,fecha_contacto,canal_contacto,num_toques,respuesta,fecha_respuesta,reunion_agendada,demo_realizada,piloto_aceptado,rechazo,motivo_rechazo,ficha_feedback,proxima_accion,fecha_proxima_accion,cliente_pago,mrr_eur
Gestoría AVANZA,Valencia,Valencia,,,,,A,frío,alto,Búsqueda web 2026-07-11,"4.80/5 en 104 reseñas, asesoría integral fiscal/jurídica/contable/laboral para pymes y autónomos",pendiente_contacto,,,,,,,,,,,,Verificar teléfono/email en su web antes de contactar,,,
Gestoría Pastor,Valencia,Valencia,,,,,B,frío,medio,Búsqueda web 2026-07-11,"Más de 95 años de trayectoria, atiende pymes, medianas y grandes empresas — puede ser más institucional de lo ideal para el piloto",pendiente_contacto,,,,,,,,,,,,Verificar teléfono/email en su web antes de contactar,,,
Asesoría Autónomos Valencia,Valencia,Valencia,asesoriaautonomosvalencia.com,,,,A,frío,alto,Búsqueda web 2026-07-11,"Más de 20 años especializados en autónomos, servicio presencial y online",pendiente_contacto,,,,,,,,,,,,Verificar email en su web antes de contactar,,,
Gestoría Autónomos Barcelona,L'Hospitalet de Llobregat,Barcelona,gestoriaautonomosbarcelona.com,,,,A,frío,alto,Búsqueda web 2026-07-11,"13 años, especializada en autónomos, cuota 60€+IVA/mes, oficina a 5 min del centro de Barcelona",pendiente_contacto,,,,,,,,,,,,Verificar email en su web antes de contactar,,,
Gestoría Barcelona,Barcelona,Barcelona,gestoriabarcelona.cat,,,,B,frío,medio,Búsqueda web 2026-07-11,Asesoría integral fiscal/laboral/financiera/contable/jurídica,pendiente_contacto,,,,,,,,,,,,Verificar email en su web antes de contactar,,,
DAEM,Barcelona / Sabadell,Barcelona,,,,,A,frío,alto,Búsqueda web 2026-07-11,"Oficinas en Barcelona y Sabadell, acompañamiento cercano a empresas y autónomos",pendiente_contacto,,,,,,,,,,,,Verificar teléfono/email en su web antes de contactar,,,
MLT Asesores,Barcelona,Barcelona,mltasesores.com,,,,A,frío,alto,Búsqueda web 2026-07-11,Cuota mensual de gestión fiscal/contable/laboral centrada en autónomos,pendiente_contacto,,,,,,,,,,,,Verificar email en su web antes de contactar,,,
Assessoria Despí S.L.,Barcelona,Barcelona,,,,,A,frío,alto,Búsqueda web 2026-07-11,"Desde 1991, especializada en autónomos y pequeñas empresas",pendiente_contacto,,,,,,,,,,,,Verificar teléfono/email en su web antes de contactar,,,
La Gestoría Online,Sevilla,Sevilla,,621271992,,,B,frío,medio,Búsqueda web 2026-07-11,Modelo principalmente online,pendiente_contacto,,,,,,,,,,,,Llamar o WhatsApp al teléfono verificado,,,
Activa Consultores,Sevilla,Sevilla,,,,"C/ Asunción, 80, 11ºB, 41011 Sevilla",B,frío,medio,Búsqueda web 2026-07-11,,pendiente_contacto,,,,,,,,,,,,Verificar teléfono/email en su web antes de contactar,,,
Zamorano Cruz Asesores,Sevilla,Sevilla,,,,"Av. de la República Argentina, 27 B, 2º I, 41011 Sevilla",B,frío,medio,Búsqueda web 2026-07-11,,pendiente_contacto,,,,,,,,,,,,Verificar teléfono/email en su web antes de contactar,,,
Fisconlab,Sevilla,Sevilla,,,,"C. Arquitectura, 3, Torre 7, Planta 10, 41015 Sevilla",B,frío,medio,Búsqueda web 2026-07-11,,pendiente_contacto,,,,,,,,,,,,Verificar teléfono/email en su web antes de contactar,,,
Sevitia,Sevilla,Sevilla,sevitia.com,644980526,info@sevitia.com,,A,frío,alto,Búsqueda web 2026-07-11,Gestoría para autónomos y emprendedores,pendiente_contacto,,,,,,,,,,,,Contactar por email o WhatsApp,,,
GesDogma,Sevilla,Sevilla,gesdogma.com,659821233,,,A,frío,alto,Búsqueda web 2026-07-11,Asesoría para autónomos y empresas,pendiente_contacto,,,,,,,,,,,,Llamar o WhatsApp al teléfono verificado,,,
GVV Asesores y Consultores,Sevilla,Sevilla,consulgvv.es,954238171,,,B,frío,medio,Búsqueda web 2026-07-11,,pendiente_contacto,,,,,,,,,,,,Llamar al teléfono verificado,,,
Gestoría Miguel Mayal Sevilla Este,Sevilla,Sevilla,,954675869,,,B,frío,medio,Búsqueda web 2026-07-11,,pendiente_contacto,,,,,,,,,,,,Llamar al teléfono verificado,,,
Centro de Gestión,Zaragoza,Zaragoza,centrodegestion.com,876008400,info@centrodegestion.com,"Calle Cinco de Marzo 14, 2º B, 50004 Zaragoza",A,frío,alto,Búsqueda web 2026-07-11,,pendiente_contacto,,,,,,,,,,,,Contactar por email o teléfono,,,
Gestoría Independencia,Zaragoza,Zaragoza,gestoriaindependencia27.es,976112689,,,A,frío,alto,Búsqueda web 2026-07-11,,pendiente_contacto,,,,,,,,,,,,Llamar al teléfono verificado,,,
Aragonia Asesores Asociados,Zaragoza,Zaragoza,aragonia-asesores.es,976220145,aragonia@economistas.org,"Gran Vía 30, Local, Zaragoza",B,frío,medio,Búsqueda web 2026-07-11,Vinculada a economistas colegiados,pendiente_contacto,,,,,,,,,,,,Contactar por email o teléfono,,,
Asesoría Ligorred,Zaragoza,Zaragoza,asesorialigorred.es,976259950,,,A,frío,alto,Búsqueda web 2026-07-11,Especializada en autónomos,pendiente_contacto,,,,,,,,,,,,Llamar al teléfono verificado,,,
Asesoría AM Zaragoza,Zaragoza,Zaragoza,asesoriaamzaragoza.es,976004971,,"Plaza Salamero, 14, 2B, 50004 Zaragoza",B,frío,medio,Búsqueda web 2026-07-11,,pendiente_contacto,,,,,,,,,,,,Llamar al teléfono verificado,,,
ASEM,Zaragoza,Zaragoza,asem.es,,,"Calle San Vicente Paúl 25, pral. dcha, 50001 Zaragoza",B,frío,medio,Búsqueda web 2026-07-11,,pendiente_contacto,,,,,,,,,,,,Verificar teléfono/email en su web antes de contactar,,,
Gestoría Esteban & Domínguez,Zaragoza,Zaragoza,gestoriaszaragoza.com,976383035,administracion@gestoriaszaragoza.com,"Urb. Paraíso, 4, Zaragoza",B,frío,medio,Búsqueda web 2026-07-11,,pendiente_contacto,,,,,,,,,,,,Contactar por email o teléfono,,,
Asesoría Aldaba,Málaga,Málaga,asesoriaaldaba.com,951829957,info@asesoriaaldaba.com,"C/ Ferrocarril del Puerto, 6, local E, 29002 Málaga",A,frío,alto,Búsqueda web 2026-07-11,,pendiente_contacto,,,,,,,,,,,,Contactar por email o teléfono,,,
GesTORÉ,Málaga,Málaga,tore.es,,,,A,frío,alto,Búsqueda web 2026-07-11,"Atención en oficina, teléfono o WhatsApp",pendiente_contacto,,,,,,,,,,,,Verificar teléfono/email en su web antes de contactar,,,
Gestoría Rubén María,Multi-ciudad (Málaga/Alicante/Murcia/Valladolid/A Coruña/Bilbao),Varias,gestoriarubenmaria.es,620001166,,,C,frío,bajo,Búsqueda web 2026-07-11,"Aparece en varias ciudades — probable operación online multi-oficina, menos prioritaria como piloto por ya estar digitalizada",pendiente_contacto,,,,,,,,,,,,Baja prioridad — considerar solo si faltan prospectos,,,
Proasa,Málaga,Málaga,proasa.org,952364229,,"Po. La Alameda C/Nabucco I-6, 29006 Málaga",B,frío,medio,Búsqueda web 2026-07-11,,pendiente_contacto,,,,,,,,,,,,Llamar al teléfono verificado,,,
Asesoría de Autónomos AF,Málaga,Málaga,asesoriaautonomos-af.es,952369200,,,A,frío,alto,Búsqueda web 2026-07-11,,pendiente_contacto,,,,,,,,,,,,Llamar al teléfono verificado,,,
Asesor Autónomos Málaga,Málaga,Málaga,asesorautonomosmalaga.es,,,Centro histórico de Málaga,A,frío,alto,Búsqueda web 2026-07-11,,pendiente_contacto,,,,,,,,,,,,Verificar teléfono/email en su web antes de contactar,,,
Gesfiser Ibr,Bilbao,Bizkaia,gesfiser.es,944474072,info@gesfiser.es,"C/ Barroeta Aldamar 4, planta 4, Dpto. 41, 48001 Bilbao",A,frío,alto,Búsqueda web 2026-07-11,,pendiente_contacto,,,,,,,,,,,,Contactar por email o teléfono,,,
Gestoría Aguilera,Bilbao,Bizkaia,gestoriaaguilera.com,688729738,,"C/Marqués del Puerto 12 3E, 48008 Bilbao",A,frío,alto,Búsqueda web 2026-07-11,Asesoría desde 30€/mes,pendiente_contacto,,,,,,,,,,,,Llamar al teléfono verificado,,,
Gestoría Gabiola,Bilbao,Bizkaia,gestoriagabiola.com,944444324,info@gestoriagabiola.com,"Calle Alcalde Felipe Uhagón, 9, planta 5, 48010 Bilbao",B,frío,medio,Búsqueda web 2026-07-11,,pendiente_contacto,,,,,,,,,,,,Contactar por email o teléfono,,,
Gestoría Galarza,Bilbao,Bizkaia,gestoriagalarza.com,,,"Alameda Recalde, 61, 48010 Bilbao",B,frío,medio,Búsqueda web 2026-07-11,,pendiente_contacto,,,,,,,,,,,,Verificar teléfono/email en su web antes de contactar,,,
Gestoría e Madrid,Madrid,Madrid,gestoriaemadrid.com,914458632,,"C/ General Álvarez de Castro, 41, Madrid",A,frío,alto,Búsqueda web 2026-07-11,"Especialista en alta de autónomos, constitución de empresas, Renta",pendiente_contacto,,,,,,,,,,,,Llamar al teléfono verificado,,,
MZG Asesores,Madrid,Madrid,mzgasesores.es,915650904,,,B,frío,medio,Búsqueda web 2026-07-11,"Externalización de contabilidad, fiscalidad y laboral",pendiente_contacto,,,,,,,,,,,,Llamar al teléfono verificado,,,
Gestión de Autónomos,Madrid,Madrid,gestiondeautonomos.es,913839652,,"Av. del Monasterio de Silos, 13, Local Photofilms, 28049 Madrid",A,frío,alto,Búsqueda web 2026-07-11,,pendiente_contacto,,,,,,,,,,,,Llamar al teléfono verificado,,,
Gestoralia,Madrid,Madrid,gestoralia.net,913916990,,,A,frío,alto,Búsqueda web 2026-07-11,Gestoría de autónomos en Madrid,pendiente_contacto,,,,,,,,,,,,Llamar al teléfono verificado,,,
GestAlacant,Alicante,Alicante,gestalacant.com,965920107,,"Calle José María Py, 21, 03005 Alicante",B,frío,medio,Búsqueda web 2026-07-11,,pendiente_contacto,,,,,,,,,,,,Llamar al teléfono verificado,,,
San Nicolás Asesores,Alicante,Alicante,sannicolasasesores.es,965922315,,Alicante centro,B,frío,medio,Búsqueda web 2026-07-11,,pendiente_contacto,,,,,,,,,,,,Llamar al teléfono verificado,,,
Asesores JR,Alicante,Alicante,asesoresjr.net,966146688,,"Av. Condes de Soto Ameno, 19, 03005 Alicante",B,frío,medio,Búsqueda web 2026-07-11,"Fiscal, contabilidad, laboral, jurídico, tráfico, gestoría",pendiente_contacto,,,,,,,,,,,,Llamar al teléfono verificado,,,
Mprende,Alicante,Alicante,mprende.net,965203375,,,A,frío,alto,Búsqueda web 2026-07-11,"Fiscal, laboral y contable para pymes, autónomos y emprendedores — verificar teléfono exacto, la fuente daba un dígito de más",pendiente_contacto,,,,,,,,,,,,Verificar teléfono en su web antes de llamar,,,
Consulting Confislab,Palma de Mallorca,Illes Balears,consultingconfislab.es,971759736,,"Archiduque Luis Salvador, 15 Bajos, 07004 Palma",B,frío,medio,Búsqueda web 2026-07-11,,pendiente_contacto,,,,,,,,,,,,Llamar al teléfono verificado,,,
Asesoría MJ Mallorca,Palma de Mallorca,Illes Balears,asesoriamjmallorca.es,654855645,info@asesoriamjmallorca.es,,A,frío,alto,Búsqueda web 2026-07-11,,pendiente_contacto,,,,,,,,,,,,Contactar por email o teléfono,,,
MJMASSIP,Palma de Mallorca,Illes Balears,mjmassip.es,,,,B,frío,medio,Búsqueda web 2026-07-11,,pendiente_contacto,,,,,,,,,,,,Verificar teléfono/email en su web antes de contactar,,,
Labor3 Asesores,Palma de Mallorca,Illes Balears,labor3asesores.com,,,Centro de Palma,B,frío,medio,Búsqueda web 2026-07-11,"Laboral, fiscal y contable para autónomos y empresas",pendiente_contacto,,,,,,,,,,,,Verificar teléfono/email en su web antes de contactar,,,
Asesoría Company (Confialia),Palma de Mallorca,Illes Balears,confialia.com,,,,B,frío,medio,Búsqueda web 2026-07-11,Más de 30 años de experiencia — puede ser más institucional,pendiente_contacto,,,,,,,,,,,,Verificar teléfono/email en su web antes de contactar,,,
Bonet Asesores,Palma de Mallorca,Illes Balears,bonetasesores.com,,,Centro de Palma,B,frío,medio,Búsqueda web 2026-07-11,,pendiente_contacto,,,,,,,,,,,,Verificar teléfono/email en su web antes de contactar,,,
Grupo Murcia,Murcia,Murcia,grupomurcia.com,,,,B,frío,medio,Búsqueda web 2026-07-11,"Asesoría y gestoría empresarial, fiscal y contable",pendiente_contacto,,,,,,,,,,,,Verificar teléfono/email en su web antes de contactar,,,
"GAMO Abogados, Asesoría y Gestión",Valladolid,Valladolid,abogadosgamo.com,983379900,,,B,frío,medio,Búsqueda web 2026-07-11,34 años de trayectoria — despacho mixto abogados/asesoría,pendiente_contacto,,,,,,,,,,,,Llamar al teléfono verificado,,,
Gestoría Valladolid,Valladolid,Valladolid,gestoriavalladolid.org,,,,A,frío,alto,Búsqueda web 2026-07-11,"Atiende autónomos, pymes y sociedades",pendiente_contacto,,,,,,,,,,,,Verificar teléfono/email en su web antes de contactar,,,
Gestoría Castilla y León,Valladolid,Valladolid,,983343097,,"Calle Zúñiga, 13, 2º B, 47001 Valladolid",B,frío,medio,Búsqueda web 2026-07-11,,pendiente_contacto,,,,,,,,,,,,Llamar al teléfono verificado,,,
Gestoría Matogrande,A Coruña,A Coruña,,981100380,,"R. Enrique Mariñas Romero, 6, BAJO, 15009 A Coruña",B,frío,medio,Búsqueda web 2026-07-11,,pendiente_contacto,,,,,,,,,,,,Llamar al teléfono verificado,,,
Gestoría Pousa y Rodríguez S.L.,A Coruña,A Coruña,,981247911,,"Ronda de Outeiro, 222, 15007 A Coruña",B,frío,medio,Búsqueda web 2026-07-11,,pendiente_contacto,,,,,,,,,,,,Llamar al teléfono verificado,,,
Asesoría GesGlobal,Vigo,Pontevedra,asesoriagesglobal.com,,,"García Barbón, centro de Vigo",B,frío,medio,Búsqueda web 2026-07-11,"Fiscal, laboral, contable, mercantil y legal",pendiente_contacto,,,,,,,,,,,,Verificar teléfono/email en su web antes de contactar,,,
Habita Consulting,Vigo,Pontevedra,habitaconsulting.com,,,,B,frío,medio,Búsqueda web 2026-07-11,"Mercantil, fiscal, contable y laboral",pendiente_contacto,,,,,,,,,,,,Verificar teléfono/email en su web antes de contactar,,,
